cd_acao;cd_acao_rdz;nm_empresa;setor_economico;subsetor;segmento;cnpj;dt_abertura;matriz.empresaMatriz;cd_cnae_principal;de_cnae_principal;de_ramo_atividade;de_setor;endereco_cep;endereco_municipio;endereco_uf;endereco_regiao;endereco_mesorregiao;situacao_cadastral;nivel_atividade;empresa_porte;saude_tributaria;optante_simples;optante_simei
CSANL175;CSAN;COSAN;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;50746577000115;1966-07-08;True;6462000,0;HOLDINGS DE INSTITUICOES NAO FINANCEIRAS;BENS DE CAPITAL;SERVICOS;4538132,0;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA;ALTO;GRANDE;VERMELHO;False;False
CSANK177;CSAN;COSAN;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;50746577000115;1966-07-08;True;6462000,0;HOLDINGS DE INSTITUICOES NAO FINANCEIRAS;BENS DE CAPITAL;SERVICOS;4538132,0;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA;ALTO;GRANDE;VERMELHO;False;False
CSANW175;CSAN;COSAN;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;50746577000115;1966-07-08;True;6462000,0;HOLDINGS DE INSTITUICOES NAO FINANCEIRAS;BENS DE CAPITAL;SERVICOS;4538132,0;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA;ALTO;GRANDE;VERMELHO;False;False
CSANV187;CSAN;COSAN;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;50746577000115;1966-07-08;True;6462000,0;HOLDINGS DE INSTITUICOES NAO FINANCEIRAS;BENS DE CAPITAL;SERVICOS;4538132,0;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA;ALTO;GRANDE;VERMELHO;False;False
CSANK195;CSAN;COSAN;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;50746577000115;1966-07-08;True;6462000,0;HOLDINGS DE INSTITUICOES NAO FINANCEIRAS;BENS DE CAPITAL;SERVICOS;4538132,0;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA;ALTO;GRANDE;VERMELHO;False;False
CSANV185;CSAN;COSAN;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;50746577000115;1966-07-08;True;6462000,0;HOLDINGS DE INSTITUICOES NAO FINANCEIRAS;BENS DE CAPITAL;SERVICOS;4538132,0;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA;ALTO;GRANDE;VERMELHO;False;False
CSAN3;CSAN;COSAN;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;50746577000115;1966-07-08;True;6462000,0;HOLDINGS DE INSTITUICOES NAO FINANCEIRAS;BENS DE CAPITAL;SERVICOS;4538132,0;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA;ALTO;GRANDE;VERMELHO;False;False
CSANK155;CSAN;COSAN;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;50746577000115;1966-07-08;True;6462000,0;HOLDINGS DE INSTITUICOES NAO FINANCEIRAS;BENS DE CAPITAL;SERVICOS;4538132,0;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA;ALTO;GRANDE;VERMELHO;False;False
CSANW110;CSAN;COSAN;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;50746577000115;1966-07-08;True;6462000,0;HOLDINGS DE INSTITUICOES NAO FINANCEIRAS;BENS DE CAPITAL;SERVICOS;4538132,0;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA;ALTO;GRANDE;VERMELHO;False;False
CSANK197;CSAN;COSAN;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;50746577000115;1966-07-08;True;6462000,0;HOLDINGS DE INSTITUICOES NAO FINANCEIRAS;BENS DE CAPITAL;SERVICOS;4538132,0;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA;ALTO;GRANDE;VERMELHO;False;False
